Titre,URL,Image,Date,Etat,Prix,Nb_enchere,FDP
Carte Pokemon Mackogneur 8/102 Set De Base Edition 1 PCA 5 fr,https://www.ebay.fr/itm/354027869469?hash=item526db4951d:g:SYsAAOSwk91iZtH2,https://i.ebayimg.com/thumbs/images/g/SYsAAOSwk91iZtH2/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"64,99 EUR",,"+4,99 EUR (livraison)"
Carte Pokemon DONPHAN 107/123  Célébrations 25ans FR NEUF,https://www.ebay.fr/itm/403637906278?hash=item5dfab1ab66:g:ZRcAAOSwqB9icXof,https://i.ebayimg.com/thumbs/images/g/ZRcAAOSwqB9icXof/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"4,00 EUR",2 enchères,"+2,50 EUR (livraison)"
carte pokemon Salamèche 46/102 WIZARDS Set de Base FR PCA 6 1999,https://www.ebay.fr/itm/115330953421?hash=item1ada42b0cd:g:~vgAAOSwDqliTZSb,https://i.ebayimg.com/thumbs/images/g/~vgAAOSwDqliTZSb/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"30,00 EUR",,Livraison gratuite
Carte pokemon Celibi V Full Art 245/264 poing fusion version française ,https://www.ebay.fr/itm/185407110200?hash=item2b2b1ffc38:g:sJYAAOSwKiJiUIK0,https://i.ebayimg.com/thumbs/images/g/sJYAAOSwKiJiUIK0/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"50,00 EUR",1 enchère,
"Carte Pokemon Bulbizarre Edition 1 / Set De Base Wizards / PCA 9,5 Neuve FR",https://www.ebay.fr/itm/313879913481?hash=item4914b36409:g:BGQAAOSwZYZiDp8b,https://i.ebayimg.com/thumbs/images/g/BGQAAOSwZYZiDp8b/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"70,00 EUR",,Livraison gratuite
Carte Pokemon Pikachu 58/102 PCA 6 Très bon état Set de Base Wizards,https://www.ebay.fr/itm/403540898710?hash=item5df4e97396:g:NLMAAOSwxWtiL7sP,https://i.ebayimg.com/thumbs/images/g/NLMAAOSwxWtiL7sP/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",,"32,00 EUR",,Livraison gratuite
Carte Pokemon Tortank Célébration 25 ans Neuf,https://www.ebay.fr/itm/403637902705?hash=item5dfab19d71:g:6JcAAOSwANhicXgj,https://i.ebayimg.com/thumbs/images/g/6JcAAOSwANhicXgj/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"8,01 EUR",5 enchères,"+2,50 EUR (livraison)"
Lot de 2 Dresseurs - Holo Reverse - s8b Climax Vmax - Carte Pokémon JPN,https://www.ebay.fr/itm/165465890585?hash=item2686891f19:g:TaQAAOSwSJdicdxA,https://i.ebayimg.com/thumbs/images/g/TaQAAOSwSJdicdxA/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"1,50 EUR",,"+1,50 EUR (livraison)"
Carte Pokémon Voltali TG04/TG30 EB09 Stars Étincelantes Neuve Fr,https://www.ebay.fr/itm/313982353455?hash=item491ace802f:g:xzMAAOSwyS5icXXX,https://i.ebayimg.com/thumbs/images/g/xzMAAOSwyS5icXXX/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"3,50 EUR",2 enchères,"+0,50 EUR (livraison)"
Carte Pokemon Sucreine V Full Art 246/264 Pokémon [EB08 Poing De Fusion] FR,https://www.ebay.fr/itm/403630510315?hash=item5dfa40d0eb:g:tO8AAOSwsJJiWbqg,https://i.ebayimg.com/thumbs/images/g/tO8AAOSwsJJiWbqg/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",,"11,00 EUR",3 enchères,"+2,00 EUR (livraison)"
carte pokemon electhor de galar,https://www.ebay.fr/itm/224963203736?hash=item3460da1298:g:5BYAAOSwXMNiYvM-,https://i.ebayimg.com/thumbs/images/g/5BYAAOSwXMNiYvM-/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",,"60,00 EUR",8 enchères,"+3,00 EUR (livraison)"
Psykokwak Carte Commune 16/122 XY9 Rupture Turbo Pokemon Miscut Misscut (2189),https://www.ebay.fr/itm/224963201579?hash=item3460da0a2b:g:nCkAAOSwketiIf1Z,https://i.ebayimg.com/thumbs/images/g/nCkAAOSwketiIf1Z/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"4,90 EUR",1 enchère,"+1,85 EUR (livraison)"
Carte Promo Sulfura Électhor Artikodin SM210 Pokemon Destinées Occultes Neuve #5,https://www.ebay.fr/itm/224963201600?hash=item3460da0a40:g:3tgAAOSw11JhjDbL,https://i.ebayimg.com/thumbs/images/g/3tgAAOSw11JhjDbL/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"7,62 EUR",4 enchères,"+3,15 EUR (livraison)"
Carte Promo Sulfura Électhor Artikodin SM210 Pokemon Destinées Occultes Neuve #1,https://www.ebay.fr/itm/224963201641?hash=item3460da0a69:g:4E4AAOSwSB1hjDG5,https://i.ebayimg.com/thumbs/images/g/4E4AAOSwSB1hjDG5/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"6,00 EUR",2 enchères,"+3,15 EUR (livraison)"
Carte Promo Sulfura Électhor Artikodin SM210 Pokemon Destinées Occultes Neuve #4,https://www.ebay.fr/itm/224963201648?hash=item3460da0a70:g:fWoAAOSwnP5hjDW8,https://i.ebayimg.com/thumbs/images/g/fWoAAOSwnP5hjDW8/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"6,50 EUR",2 enchères,"+3,15 EUR (livraison)"
Carte Promo Sulfura Électhor Artikodin GX SM210 Pokemon Destinées Occultes Neuve,https://www.ebay.fr/itm/224963201524?hash=item3460da09f4:g:L2EAAOSwNgZhjC4Q,https://i.ebayimg.com/thumbs/images/g/L2EAAOSwNgZhjC4Q/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"6,50 EUR",2 enchères,"+3,15 EUR (livraison)"
Carte Promo Sulfura Électhor Artikodin SM210 Pokemon Destinées Occultes Neuve #3,https://www.ebay.fr/itm/224963201541?hash=item3460da0a05:g:EroAAOSwnANhjDSM,https://i.ebayimg.com/thumbs/images/g/EroAAOSwnANhjDSM/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"8,50 EUR",4 enchères,"+3,15 EUR (livraison)"
Carte Promo Sulfura Électhor Artikodin SM210 Pokemon Destinées Occultes Neuve #6,https://www.ebay.fr/itm/224963201554?hash=item3460da0a12:g:ffUAAOSwjnphjDny,https://i.ebayimg.com/thumbs/images/g/ffUAAOSwjnphjDny/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"8,50 EUR",5 enchères,"+3,15 EUR (livraison)"
Carte Promo Sulfura Électhor Artikodin SM210 Pokemon Destinées Occultes Neuve #2,https://www.ebay.fr/itm/224963201453?hash=item3460da09ad:g:yCEAAOSwcSlhjDMC,https://i.ebayimg.com/thumbs/images/g/yCEAAOSwcSlhjDMC/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"5,42 EUR",2 enchères,"+3,15 EUR (livraison)"
CARTE POKÉMON Rafflesia GX Full Art Eclipse Cosmique 211/236 FR alt,https://www.ebay.fr/itm/255513132673?hash=item3b7dc4fe81:g:gYMAAOSwK3tiK5J4,https://i.ebayimg.com/thumbs/images/g/gYMAAOSwK3tiK5J4/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"25,00 EUR",1 enchère,"+2,56 EUR (livraison)"
1 Carte Pokémon MENTALI EX (52/122) PV 170 Ultra Rare,https://www.ebay.fr/itm/322468992377?hash=item4b14a65579:g:-M0AAOSwzgRWviOw,https://i.ebayimg.com/thumbs/images/g/-M0AAOSwzgRWviOw/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"14,90 EUR",,Livraison gratuite
Carte pokémon Dresseur René 167/172 et Saltimbanque 170/172 Star étincelante FR,https://www.ebay.fr/itm/234504530928?hash=item36998f2bf0:g:5fcAAOSwyJNiVCf7,https://i.ebayimg.com/thumbs/images/g/5fcAAOSwyJNiVCf7/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"18,00 EUR",,"+2,00 EUR (livraison)"
Carte Pokémon Fulgudog Vmax 104/264 EB08 Poing de Fusion FR ,https://www.ebay.fr/itm/185407084820?hash=item2b2b1f9914:g:c5YAAOSw7jJibCzm,https://i.ebayimg.com/thumbs/images/g/c5YAAOSw7jJibCzm/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"5,50 EUR",2 enchères,"+2,90 EUR (livraison)"
Carte pokémon Mackogneur édition 1 8/102 set de base wizards holo,https://www.ebay.fr/itm/304467057758?hash=item46e3a69c5e:g:r~YAAOSwsJJiWbcx,https://i.ebayimg.com/thumbs/images/g/r~YAAOSwsJJiWbcx/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"11,50 EUR",3 enchères,"+3,00 EUR (livraison)"
